id,company_name,location,country,website,contact_emails,contact_role,description,employee_estimate,source_platform,source_job
450,WANotifier,"Pune City, Maharashtra, India",India,https://wanotifier.com/,,engineering / hiring,WordPress / web development company or agency hiring CMS and custom web developers.,11-50,LinkedIn,Senior WordPress Engineer (SaaS)
451,Wolfpack Labs,"Gurugram, Haryana, India",India,https://wolfpacklabs.vc/,,engineering / agency lead,Shopify / ecommerce software or agency team hiring for storefront and commerce engineering.,11-50,LinkedIn,Shopify Developer
452,Akara Robotics,"Dublin 8, Ireland",Ireland,https://akara.ai,,,Healthcare robotics/AI company hiring data and software roles.,11-50,Indeed,Data Annotation and Quality Specialist (Healthcare)
453,Alternatives,"Cork Metropolitan Area, Ireland",Ireland,https://www.alternatives.ie,,marketing / digital lead,Cork employer hiring Digital Marketing Executive via LinkedIn Jobs.,11-50,LinkedIn,Digital Marketing Executive
454,Anson McCade,"Belfast, Northern Ireland, United Kingdom",Ireland,https://www.AnsonMcCade.com,,engineering / founders,Digital agency hiring web/software developers.,11-50,LinkedIn,Lead Developer
455,Brickfield Education Labs,Ireland,Ireland,https://www.brickfield.ie,,engineering / agency lead,Brickfield Education Labs builds platforms that help organisations ...,2-10,LinkedIn,Senior Moodle Developer
456,Buymie,"Dublin, Ireland",Ireland,https://buymie.com,,,Irish grocery delivery tech/product company hiring developers.,11-50,Indeed,Software Developer
457,CitySwift,"Galway, Ireland",Ireland,https://cityswift.com,,,Irish transit data/SaaS platform hiring software engineers.,11-50,Indeed,Software Engineer
458,Connected Manufacturing™,"Cork, County Cork, Ireland",Ireland,https://www.connectedmanufacturing.com/,,engineering / agency lead,"Increasing Efficiency | Removing Paper | ABOUT CONNECTED MANUFACTURING™ At Connected Manufacturing™, we enable ...",11-50,LinkedIn,"Solutions Lead, Development - Ireland"
459,Eiratech Robotics,"Dublin, Ireland",Ireland,https://www.eiratech.com,,,Dublin warehouse robotics + software automation platform.,11-50,LinkedIn,Software Engineer
460,Equal1,"Dublin, Ireland",Ireland,https://www.equal1.com,,,Irish quantum semiconductor/software company hiring engineers.,11-50,LinkedIn,Software Engineer
461,EverBold Marketing,"Remote, Ireland",Ireland,,,agency lead,Ireland remote digital marketing agency (PPC/SEO/ecommerce) hiring Digital Marketing Executive on Indeed.,2-10,Indeed,Digital Marketing Executive
462,Horizon Quantum Computing,"Dublin, Ireland",Ireland,https://www.horizonquantum.com,,,Irish quantum software startup hiring DevOps/engineering talent.,11-50,Indeed,Devops Engineer
463,InteractiveAI,"Dublin, Ireland",Ireland,https://interactiveai.eu,,,Dublin AI product/platform company hiring across product engineering.,11-50,Indeed,Open Positions at InteractiveAI
464,Muster,"Dublin, Ireland",Ireland,https://www.muster.com,,,Irish construction tech SaaS hiring engineers.,11-50,LinkedIn,Full Stack Engineer
465,Nexthop AI,"Dublin, County Dublin, Ireland",Ireland,https://nexthop.ai,,engineering / founders,"Nexthop AI is a cohesive team of seasoned industry experts, who through their coll...",51-100,LinkedIn,Software Engineer
466,Nova Leah,"Dundalk, Ireland",Ireland,https://novaleah.com,,,Irish medtech cybersecurity software company.,11-50,LinkedIn,Software Engineer
467,Orreco,"Galway, Ireland",Ireland,https://orreco.com,,,Irish sports science software/analytics company.,11-50,LinkedIn,Software Developer
468,Pointillist Labs,"Dublin, Ireland",Ireland,https://pointillist.io,,,Irish early-stage software/product studio hiring developers.,1-10,LinkedIn,Software Developer
469,Quartr,"Dublin, Ireland",Ireland,https://quartr.com,,,Finance research software company with Dublin GTM/engineering hiring.,11-50,Indeed,Sales Development Representative
470,Seapoint,"Dublin, Ireland",Ireland,https://www.seapoint.ai,,,AI finance/ops software startup building transaction enrichment and banking workflows.,11-50,Indeed,AI Application Software Engineer
471,Software Placements,"Cork, County Cork, Ireland",Ireland,https://www.softwareplacements.ie,,engineering / studio lead,Software company / tech team hiring developers (sourced via LinkedIn Jobs).,11-50,LinkedIn,Principal Software Engineer
472,Solance,"Dublin, Ireland",Ireland,https://solance.com,,,Dublin software/product team surfaced via Indeed full-stack listings.,1-50,Indeed,Full Stack Developer
473,SwipeFarm,"Dublin, Ireland",Ireland,https://swipefarm.com,,,Irish proptech/software startup hiring full-stack talent.,1-20,LinkedIn,Full Stack Developer
474,VISO Cyber Security Limited,"Glasnevin, Dublin, Ireland",Ireland,https://www.visocyber.com,,,Irish cybersecurity firm posting analyst and security engineering roles.,11-50,Indeed,Cyber Security Analyst
475,Vocovo,"Cork, Ireland",Ireland,https://vocovo.com,,,Irish workplace communication hardware/software company.,11-50,LinkedIn,Software Engineer
476,Xanadu,"Cork, County Cork, Ireland",Ireland,,,engineering lead,Cork software team hiring UI developers (React) on Indeed.,2-10,Indeed,UI Developer
477,AHADI Applied Health Analytics for Delivery & Innovation,"Nairobi, Nairobi County, Kenya",Kenya,https://www.appliedhealthanalytics.org,,engineering / founders,Healthtech / digital health software company hiring engineers.,2-10,LinkedIn,Data Scientist
478,Caliza,"Nairobi, Kenya",Kenya,https://www.caliza.com/,,contact form,Cross-border payments / USD account infrastructure startup hiring in Nairobi.,~13,LinkedIn,Payment Operations and Integrations Engineer
479,Grawesoft Digital,"Mombasa, Kenya",Kenya,https://grawesoft.org,,,Pan-African digital agency (~30) rooted in Mombasa.,11-50,LinkedIn,Software Developer
480,Korvanta Systems,"Nairobi, Kenya",Kenya,https://www.korvantasystems.com,,,Nairobi software studio for PMS/ERP/payments/AI across Africa.,1-20,LinkedIn,Software Engineer
481,Native X,"Nairobi, Kenya",Kenya,https://nativex.no/,,booking form,Norwegian IT consultancy with Nairobi developers serving Scandinavian clients.,2-10,LinkedIn,Full-Stack Developer
482,Augusto Group,"Auckland, New Zealand",New Zealand,https://augusto.co.nz,,,NZ software consultancy/product engineering firm.,11-50,Indeed,Software Engineer - Augusto Group
483,Boost,"Wellington, New Zealand",New Zealand,https://www.boost.co.nz,,,Wellington digital product/software agency hiring full-stack developers.,11-50,Indeed,Full Stack Software Developer
484,Centrapay,"Auckland, New Zealand",New Zealand,https://centrapay.com,,,NZ payments/loyalty fintech hiring intermediate software engineers.,11-50,Indeed,Intermediate Software Engineer
485,Cognisance,"Auckland, New Zealand",New Zealand,https://cognisance.co.nz,,,NZ custom software / digital product agency.,11-50,Indeed,Software Developer
486,Figured,"Auckland, New Zealand",New Zealand,https://www.figured.com,,,NZ farm financial management SaaS.,11-50,LinkedIn,Software Engineer
487,Melon,"Auckland, New Zealand",New Zealand,https://melon.co.nz,,,NZ digital product studio / software agency.,11-50,Indeed,Full Stack Developer
488,NeoClean Limited,"Auckland, New Zealand",New Zealand,,,,NZ tech employer posting software developer roles on Indeed.,1-20,Indeed,Software Developer
489,Optimal Workshop,"Wellington, New Zealand",New Zealand,https://www.optimalworkshop.com,,,NZ UX research SaaS hiring engineers.,11-50,LinkedIn,Software Engineer
490,Partly,"Christchurch, New Zealand",New Zealand,https://partly.com,,,NZ auto parts ecommerce/marketplace software.,11-50,LinkedIn,Software Engineer
491,Pukeko,"Auckland, New Zealand",New Zealand,https://pukeko.io,,,NZ software product company hiring junior–intermediate developers.,1-20,Indeed,Software Developer (Junior – Intermediate)
492,Raygun,"Wellington, New Zealand",New Zealand,https://raygun.com,,,NZ application monitoring/error tracking SaaS.,11-50,LinkedIn,Software Engineer
493,Springload,"Wellington, New Zealand",New Zealand,https://www.springload.co.nz,,,Wellington digital product agency hiring developers.,11-50,LinkedIn,Software Developer
494,Tracksuit,"Auckland, New Zealand",New Zealand,https://www.tracksuit.com,,,NZ brand tracking SaaS hiring engineers.,11-50,LinkedIn,Software Engineer
495,Youtap Limited,"Auckland CBD, New Zealand",New Zealand,https://youtap.com,,,NZ fintech/payments software company hiring frontend developers.,11-50,Indeed,Graduate Front-end Software Developer
496,Akili Dev,"Lagos, Nigeria",Nigeria,https://akili.dev,,,Product development arm building software for African startups/enterprises.,11-50,LinkedIn,Software Engineer
497,Bemo Technologies,"Abuja, Federal Capital Territory, Nigeria",Nigeria,,,engineering lead,Abuja software company hiring Flutter engineers.,2-10,LinkedIn,Flutter Engineer
498,ByteWorks,"Abuja, Federal Capital Territory, Nigeria",Nigeria,https://byteworks.com.ng,,engineering lead,Abuja software company hiring software developer interns on Indeed.,11-50,Indeed,Software Developer (Intern)
499,Enet Technologies,"Abuja, Federal Capital Territory, Nigeria",Nigeria,https://www.enetinnovative.com,,engineering lead,Abuja software company hiring software engineers (LinkedIn and Indeed).,2-10,LinkedIn,Software Engineer
500,INITS Limited,"Lagos, Nigeria",Nigeria,https://inits.com.ng,,,Custom software/IT consulting (~47 employees) Lagos/Nairobi.,11-50,LinkedIn,Software Developer
501,Iris Edutech,"Abuja, Federal Capital Territory, Nigeria",Nigeria,,,agency / product lead,"Abuja Iris Tech and Media careers posting web developer, QA, and UI/UX roles on Indeed.",2-10,Indeed,"Careers at Iris Tech and Media Ltd (Web Developer, QA Tester, Marketing Strategist, UI/UX Designer)"
502,KadMap Systems Limited,"Abuja, Federal Capital Territory, Nigeria",Nigeria,https://kadmap.com,,engineering lead,Abuja sovereign computing / software firm hiring full-stack engineers.,2-10,LinkedIn,Full-Stack Engineer
503,PureSoft Technologies,"Abuja, Federal Capital Territory, Nigeria",Nigeria,,,engineering lead,Abuja software firm hiring frontend and web developers on Indeed.,2-10,Indeed,Frontend Developer
504,TikTal,"Abuja, Federal Capital Territory, Nigeria",Nigeria,https://tiktal.com,,engineering lead,Abuja software product company hiring full stack developers on Indeed.,2-10,Indeed,Full Stack Developer
505,Triax Technologies,"Abuja, Federal Capital Territory, Nigeria",Nigeria,,,engineering lead,Abuja tech firm hiring mid-level IT engineers/developers on Indeed.,2-10,Indeed,IT Engineer (Mid-Level Developer)
506,24x7 Direct,Metro Manila,Philippines,https://www.24x7direct.com.au,,engineering / studio lead,"Looking for a reliable outsourcing partner that can help your business grow? Look no further than 24x7 Direct! At 24x7 Direct, we off...",51-100,LinkedIn,Full Stack Developer
507,"98Labs, Inc.","Makati City, Philippines",Philippines,https://98labs.com,,,Manila software engineering firm for banking/logistics/tech brands.,11-50,Indeed,Software Engineer
508,BlastAsia,"Makati, Philippines",Philippines,https://blastasia.com,,,PH Microsoft-stack software solutions company.,11-50,LinkedIn,Software Engineer
509,CIM Technologies,"Cebu City, Philippines",Philippines,https://www.cimtechnologies.com,,engineering lead,Cebu software firm hiring full stack web developers.,11-50,Indeed,Full Stack Web Developer
510,Circular Economy Systems (CES),"Manila, National Capital Region, Philippines",Philippines,https://circulareconomysystems.com/,,engineering / studio lead,We are proud to develop successful recycling schemes that d...,51-100,LinkedIn,Software Developer - D365
511,Codedisrupt,"Manila, Philippines",Philippines,,,,PH digital agency/software team hiring developers.,1-20,Indeed,Full Stack Developer
512,Coreproc,"Makati, Philippines",Philippines,https://coreproc.com,,,PH custom software development company.,11-50,LinkedIn,Software Engineer
513,Gurango Software,"Makati, Philippines",Philippines,https://gurango.com,,,Philippine enterprise software / Dynamics partner engineering.,11-50,Indeed,Software Developer
514,I Need Website,"Metro Cebu, Philippines",Philippines,https://ineedwebsite.com,,agency lead,Cebu web agency hiring front-end developers.,2-10,LinkedIn,Front - End Developer
515,iScale Solutions,"Cebu City, Philippines",Philippines,https://iscale-solutions.com,,engineering lead,Cebu tech scaling firm hiring front-end developers.,11-50,Indeed,Front end Developer
516,L'EVATE Inc.,"Cebu, Philippines",Philippines,,,engineering lead,Cebu software team hiring full stack developers on LinkedIn.,2-10,LinkedIn,Full Stack Developer
517,Lennor Group,"Cebu, Philippines",Philippines,https://www.lennorgroup.com,,engineering lead,Cebu software/outsourcing group hiring Vue frontend and senior full stack developers.,11-50,LinkedIn,Vue Frontend Developer
518,Mysofthemes Studio,"Manila, Philippines",Philippines,,,,PH web/app development studio hiring developers.,1-20,Indeed,Web Developer
519,Nerubia Inc.,"Cebu City, Philippines",Philippines,https://www.nerubia.com,,,Cebu software development startup serving international clients.,11-50,Indeed,Software Engineer
520,Nueca Technologies,"Cebu City, Philippines",Philippines,https://nueca.com,,,Cebu digital product and software development agency.,11-50,LinkedIn,Full Stack Developer
521,OpsWerks,"Metro Cebu, Philippines",Philippines,https://opswerks.com,,engineering lead,Cebu software services company hiring senior full stack developers.,11-50,LinkedIn,Senior Full Stack Developer
522,Outliant,"Manila, Philippines",Philippines,https://outliant.com,,,Digital product agency with PH engineering delivery.,11-50,LinkedIn,Full Stack Developer
523,Proudcloud,"Manila, Philippines",Philippines,https://proudcloud.net,,,PH open-source / custom software consultancy.,1-20,Indeed,Software Engineer
524,Proweaver,"Talisay / Cebu, Philippines",Philippines,https://www.proweaver.com,,engineering / agency lead,Cebu web design/development agency (Proweaver PH) hiring front-end web developers on LinkedIn.,51-100,LinkedIn,Front-End Web Developer
525,"RCC Colab Solutions, Inc.","Makati, National Capital Region, Philippines",Philippines,https://rcccolabsolutions.com/,,engineering / studio lead,Mobile app studio or product company hiring mobile engineers.,11-50,LinkedIn,Android Developer
526,RemoteVA,"Cebu, Philippines",Philippines,https://remoteva.com,,agency lead,Cebu remote staffing/agency hiring HubSpot SEO specialists and Shopify developers.,11-50,LinkedIn,SEO/AEO Specialist (HubSpot)
527,Sparksoft Solutions,"Quezon City, Philippines",Philippines,https://sparksoft.com.ph,,,PH custom software development company.,11-50,Indeed,Software Engineer
528,Startechup Inc.,"Cebu City, Philippines",Philippines,https://www.startechup.com,,,Cebu software agency for web/mobile for EU/US/Asia clients.,11-50,Indeed,Senior Web Developer
529,Swiftventure Labs,"Cebu City, Philippines",Philippines,,,,Cebu software product studio hiring engineers.,1-20,LinkedIn,Software Developer
530,Symph,"Cebu City, Philippines",Philippines,https://symph.co,,,Cebu product design and software development studio.,11-50,LinkedIn,Full Stack Developer
531,TimeRiverDesign,"Cebu City, Philippines",Philippines,https://timeriverdesign.com,,agency lead,Cebu web design/development studio hiring web developers on Indeed.,2-10,Indeed,Web Developer
532,Web2.ph,"Cebu City, Philippines",Philippines,https://web2.ph,,agency lead,Cebu creative & technical web agency hiring front-end web developers.,2-10,Indeed,Front-End Web Developer Creative & Technical
533,WhiteCloak Technologies,"Makati, Philippines",Philippines,https://whitecloak.com,,,PH software engineering company for web/mobile products.,11-50,Indeed,Software Engineer
534,Wobbisource,"Makati / BGC, Philippines",Philippines,,,,PH remote/hybrid product engineering team hiring full-stack developers.,1-20,Indeed,Full Stack Developer
535,10X AI TECHNOLOGY PTE. LTD.,Singapore,Singapore,,,,Singapore AI software firm hiring senior engineers.,1-20,Indeed,Senior Software Engineer
536,A:20Labs,Singapore,Singapore,https://a20labs.com,,,Music-tech development company hiring deployment engineers.,1-10,LinkedIn,Deployment Engineer
537,ALTA Alternative Investments,Singapore,Singapore,,,,Singapore alt-investments software platform hiring engineers.,11-50,Indeed,Software Engineer
538,ALTAX PTE. LTD.,Singapore,Singapore,,,,Singapore brokerage/fintech software team hiring engineers.,11-50,Indeed,Software Engineer
539,Avatar Modern Techno Services,Singapore,Singapore,,,,Singapore software services firm hiring application engineers.,11-50,Indeed,Software Engineer
540,Codex Solutions,Singapore,Singapore,https://www.codex.com.sg/,,founders / engineering,A joint venture company by ST Engineering and HTX,51-100,LinkedIn,Software Engineer
541,GoDoc (Medical) Pte. Ltd.,Singapore,Singapore,https://godoc.co,,,Singapore healthtech software company hiring engineers.,11-50,Indeed,Software Engineer
542,Hatch,Singapore,Singapore,https://hatch.sg,,,Singapore careers/jobs product company hiring engineers.,11-50,LinkedIn,Software Engineer
543,JEET ANALYTICS PTE. LTD.,Singapore,Singapore,,,,Singapore analytics/software firm hiring CI/CD-focused engineers.,1-20,Indeed,Software Engineer
544,Lully,Singapore,Singapore,https://lully.ai,,,Warehouse AI startup hiring forward-deployed engineers.,1-10,LinkedIn,Forward Deployed Engineer
545,Mobbin,Singapore,Singapore,https://mobbin.com,,,Singapore design inspiration SaaS hiring platform engineers.,11-50,LinkedIn,"Software Engineer, New Platforms"
546,Naptha AI,Singapore,Singapore,https://naptha.ai,,,Singapore multi-agent AI startup hiring software engineers.,1-10,LinkedIn,Software Engineer (Intern)
547,Oddle,Singapore,Singapore,https://www.oddle.me,,,Singapore F&B ecommerce SaaS.,11-50,Indeed,Software Engineer
548,OrcaSlicer,Singapore,Singapore,https://orcaslicer.com,,,Local 3D-printing software startup hiring full-stack engineers.,1-10,Indeed,Software Engineer
549,Pave Bank,Singapore,Singapore,https://pavebank.com,,,Singapore digital bank/fintech hiring junior software engineers.,11-50,Indeed,Junior Software Engineer
550,SIGNALPLUS SG PTE. LTD.,Singapore,Singapore,https://www.signalplus.com,,,Singapore crypto/derivatives trading tech hiring engineering interns.,11-50,Indeed,Software Engineering Intern
551,Spenmo,Singapore,Singapore,https://www.spenmo.com,,,Singapore spend management SaaS.,11-50,LinkedIn,Software Engineer
552,Tescom Singapore Software,Singapore,Singapore,,,,Software systems testing/engineering firm hiring software engineers.,11-50,Indeed,Software Engineer
553,Yirifi.ai,Singapore,Singapore,https://yirifi.ai,,,Singapore AI software startup hiring full-stack developers.,11-50,LinkedIn,Full Stack Developer
554,YOJEE PTE. LTD.,Singapore,Singapore,https://yojee.com,,,Logistics SaaS platform hiring software engineers.,11-50,Indeed,Software Engineer
555,Aerobotics,"Cape Town, South Africa",South Africa,https://www.aerobotics.com,,,SA agtech AI/software company.,11-50,Indeed,Software Engineer
556,Best Web Design Pty,"Johannesburg, Gauteng, South Africa",South Africa,https://bestwebdesign.co.za/,,engineering / agency lead,Digital agency hiring web/software developers.,2-10,LinkedIn,Search Engine Expert
557,Bluespec Holdings,"Sandton, South Africa",South Africa,https://bluespec.co.za,,tech leadership,Sandton tech group hiring AI developer interns.,<100,Indeed,AI Developer Intern
558,Dotcom Africa (Pty) Ltd,"Morningside, KwaZulu-Natal, South Africa",South Africa,,,,Website/software development company hiring website developers.,1-20,Indeed,Website Developer (Full-Time)
559,Duku AI,"Durban, KwaZulu-Natal, South Africa",South Africa,https://duku.ai,,engineering / founders,Durban AI/software startup hiring full stack software engineers.,2-10,LinkedIn,Full Stack Software Engineer
560,Ecentric Payment Systems,"Cape Town, Western Cape, South Africa",South Africa,https://www.ecentric.co.za,,engineering / founders,Fintech software company hiring engineers for financial products.,51-100,LinkedIn,Fullstack Developer (Recon Assist)
561,Flowapt,"City of Cape Town, Western Cape, South Africa",South Africa,https://flowapt.com,,engineering / founders,Shopify / ecommerce software or agency team hiring for storefront and commerce engineering.,2-10,LinkedIn,Software Engineer
562,Giraffe,"Johannesburg, South Africa",South Africa,https://www.giraffe.co.za,,,SA recruitment marketplace software.,11-50,Indeed,Software Engineer
563,Hire Hangar,"Cape Town / Johannesburg, South Africa",South Africa,https://www.hirehangar.com,,ops,AI-powered global recruiting firm hiring SA full-stack developers.,<100,Indeed,Frontend-Focused Full Stack Developer
564,Hire Overseas,"Cape Town, South Africa",South Africa,https://hireoverseas.com,,product,Remote hiring platform with Cape Town roles for web developer & designer.,<100,Indeed,Web Developer & Designer
565,IndSAfri,"Roodepoort, South Africa",South Africa,https://indsafri.com,,engineering management,Software/services firm hiring permanent software developers for enterprise systems.,<100,Indeed,Software Developer - Permanent
566,iX,"Durban, KwaZulu-Natal, South Africa",South Africa,https://www.ix.co.za,,engineering lead,Durban software/digital team hiring intermediate developers and website testers.,11-50,LinkedIn,Intermediate Developer
567,LifeQ,"Cape Town, South Africa",South Africa,https://www.lifeq.com,,,SA biometric/health data software.,11-50,LinkedIn,Software Engineer
568,Liquid Thought,"Cape Town, Western Cape, South Africa",South Africa,https://www.liquidthought.co.za,,engineering / agency lead,Digital agency hiring web/software developers.,11-50,LinkedIn,Full Stack Developer
569,MyHealthcare Clinic,"Durban, KwaZulu-Natal, South Africa",South Africa,,,product engineering,Durban digital health product team hiring full stack web developers (Next.js/React).,11-50,Indeed,Full Stack Web Developer -(Next.js / React)
570,OfferZen,"Cape Town, South Africa",South Africa,https://www.offerzen.com,,,Developer hiring platform / product engineering.,11-50,LinkedIn,Software Engineer
571,Optimim,"Cape Town, South Africa",South Africa,https://optimim.co.za,,product engineering,Cape Town software product company building PHP/web solutions for the SA market.,<50,Indeed,Software Developer
572,Ozow,"Cape Town, South Africa",South Africa,https://ozow.com,,,SA instant EFT payments software.,11-50,LinkedIn,Software Engineer
573,Pilot Software Holdings (Pty) Ltd - Point of Sale,"City of Cape Town, Western Cape, South Africa",South Africa,https://www.pilot.co.za/pointofsale/,,engineering / founders,Proven Hospitality Point of Sale Solution. Pilot Software is a leading developer and implementer ...,51-100,LinkedIn,Software Engineer
574,Prime Meridian Direct,"Johannesburg, South Africa",South Africa,https://www.primemeridiandirect.com,,product engineering,Insurance/fintech product company hiring full-stack Python developers.,<100,Indeed,Full-Stack Python Developer
575,redPanda Software,"Cape Town, Western Cape, South Africa",South Africa,https://www.redpandasoftware.com,,engineering / founders,Mobile app studio or product company hiring mobile engineers.,51-100,LinkedIn,Software Engineer
576,Sable International,"Cape Town, South Africa",South Africa,https://www.sableinternational.com,,tech / product,International services firm with Cape Town tech team hiring SQL developers.,<100,Indeed,Junior SQL Developer
577,SALVO-IT,"Midrand, South Africa",South Africa,,,,Midrand software/IT firm hiring software developers.,11-50,Indeed,Software Developer
578,Sedna Inc,"City of Cape Town, Western Cape, South Africa",South Africa,https://www.sedna.net,,engineering / founders,"At Sedna, we blend innovation with expertise and experience to deliver...",11-50,LinkedIn,Senior Software Engineer
579,Select Africa,"Johannesburg, South Africa",South Africa,https://selectafrica.net,,tech lead,Financial-services tech team hiring software developer interns (.NET/SQL).,<100,Indeed,Software Developer Intern
580,Shoreability,"Umhlanga Rocks, KwaZulu-Natal, South Africa",South Africa,,,digital / SEO lead,Durban-area digital team hiring SEO managers working with UK web stakeholders.,2-10,Indeed,SEO Manager PD
581,SnapScan,"Cape Town, South Africa",South Africa,https://www.snapscan.co.za,,,SA payments software product team.,11-50,Indeed,Software Developer
582,SOFTA,"Johannesburg, South Africa",South Africa,https://softa.co.za,,founders,Johannesburg software firm hiring junior full-stack / AI-enthusiast developers.,<50,Indeed,Junior Full-Stack Developer
583,Speechify,"Johannesburg, South Africa",South Africa,https://speechify.com,,platform engineering,Text-to-speech product company hiring platform software engineers from Johannesburg.,<100,Indeed,"Software Engineer, Platform"
584,Studefy,South Africa (Remote),South Africa,,,,Startup hiring fullstack software engineers (equity/salary).,1-20,Indeed,Full Stack Developer (Startup)
585,SudoSky,"Cape Town, South Africa",South Africa,https://sudosky.com,,,Cape Town software engineering firm for web/mobile/AI systems.,11-50,LinkedIn,Full-Stack Software Developer
586,Symbionix,South Africa (Remote),South Africa,,,,Remote SA software team hiring mid-level engineers (JS).,1-20,Indeed,Mid-level Software Engineer
587,Team Liquid,"Johannesburg, South Africa",South Africa,https://www.teamliquid.com,,digital product,Esports org with Johannesburg digital-product full-stack engineer hiring.,<100 local,Indeed,Full Stack Engineer
588,Upstream,"Johannesburg, South Africa",South Africa,https://www.upstreamsystems.com,,engineering managers,Digital engagement / software firm hiring Java software engineers.,<100,Indeed,"Software Engineer, Java"
589,Acclaim AI,"London, England, United Kingdom",United Kingdom,https://acclaim.ai,,engineering / founders,Healthtech / digital health software company hiring engineers.,51-100,LinkedIn,Senior Backend Developer
590,Be-IT,"Edinburgh, Scotland, United Kingdom",United Kingdom,https://www.be-it.co.uk,,agency leadership / hiring,Digital agency hiring web/software developers.,11-50,LinkedIn,Senior Software Engineer
591,BR Technologies,"Great Work, England, United Kingdom",United Kingdom,https://www.brtechnologies.net,,engineering / agency lead,Digital agency hiring web/software developers.,2-10,LinkedIn,React Developer - Remote work
592,Bristol Formula Student AI,"Bristol, England, United Kingdom",United Kingdom,https://fsai.cssbristol.co.uk/,,engineering / agency lead,We select and train the best students from the University of Bristol who want to build the next best AI and...,11-50,LinkedIn,Web Developer
593,Crowdcube,"London, United Kingdom",United Kingdom,https://www.crowdcube.com,,,UK equity crowdfunding platform software.,11-50,LinkedIn,Software Engineer
594,Elyos AI,"London Area, United Kingdom",United Kingdom,https://www.elyos.ai/,,founders / engineering,Elyos AI is the first totally autonomous customer service agent for trades and field services. Fully integrated wi...,11-50,LinkedIn,Staff Engineer
595,EmpowerRD,"London, United Kingdom",United Kingdom,https://empower.rd,,,R&D tax credit fintech/software startup near Old Street.,11-50,Indeed,Sales Development Representative
596,Farewill,"London, United Kingdom",United Kingdom,https://farewill.com,,,UK wills/probate consumer software.,11-50,LinkedIn,Software Engineer
597,Firemind,"England, United Kingdom",United Kingdom,https://firemind.com,,engineering / agency lead,UK software/digital product team hiring senior full stack engineers.,11-50,LinkedIn,Senior Full Stack Engineer
598,Flok Health,"Cambridge, England, United Kingdom",United Kingdom,https://flok.health,,engineering / founders,Healthtech / digital health software company hiring engineers.,11-50,LinkedIn,Product Software Engineer (All levels)
599,Forrit,"Edinburgh, Scotland, United Kingdom",United Kingdom,https://www.forrit.com,,agency leadership / hiring,Forrit is the secure and scalable Content Management System (CMS) built specifi...,51-100,LinkedIn,Full Stack .Net Developer
600,Geeky Tech,"Guildford, England, United Kingdom",United Kingdom,https://www.geekytech.co.uk,,engineering / agency lead,Digital agency hiring web/software developers.,11-50,LinkedIn,SEO Content Writer
601,Gleann Mor Spirits Company,Greater Edinburgh Area,United Kingdom,https://www.gmspirits.co.uk,,engineering / agency lead,Digital agency hiring web/software developers.,11-50,LinkedIn,Digital Trading Executive
602,hackajob,"Glasgow, Scotland, United Kingdom",United Kingdom,https://www.hackajob.com,,engineering / agency lead,"hackajob has the AI hiring tools trusted by enterprises, scale-ups, and 1M+ tech professiona...",51-100,LinkedIn,Developer Platform Engineer
603,Head Resourcing,"Glasgow, Scotland, United Kingdom",United Kingdom,https://www.headresourcing.com,,engineering / agency lead,Digital agency hiring web/software developers.,51-100,LinkedIn,Lead Sharedo Developer
604,Hubble HQ,"London, United Kingdom",United Kingdom,https://hubblehq.com,,,UK flexible workspace marketplace software.,11-50,Indeed,Software Engineer
605,Indigo Lune,"Solihull, England, United Kingdom",United Kingdom,https://www.indigolune.com,,agency leadership,Performance marketing / digital agency team hiring Head of Paid Social near Birmingham.,2-10,LinkedIn,Head of Paid Social
606,IQApex Labs,"North Yorkshire, England, United Kingdom",United Kingdom,https://www.iqapexlabs.com,,engineering / founders,"If you are looking for recipes for becoming a &#39;researchpreneur&#39; or an &#39;intrapreneur,&#39; we got you. We make products that solve real...",11-50,LinkedIn,MERN Stack Developer
607,Journi,"Banbury / Birmingham, England, United Kingdom",United Kingdom,https://journi.uk,,engineering lead,"UK software company hiring remote-leaning fullstack developers (React/.NET, Vue/.NET).",11-50,LinkedIn,Fullstack Developer (React/.Net) - UK (Mainly Remote)
608,KnoWho,"Stoke-On-Trent, England, United Kingdom",United Kingdom,https://knowho.co.uk,,engineering / agency lead,UK software/web product company hiring web developers (West Midlands corridor).,2-10,LinkedIn,Web Developer
609,LandTech,"London, United Kingdom",United Kingdom,https://land.tech,,,UK property intelligence SaaS.,11-50,Indeed,Software Engineer
610,Lift,"Birmingham, England, United Kingdom",United Kingdom,,,engineering / agency lead,Birmingham team hiring Full Stack Shopify Developers via LinkedIn Jobs.,2-10,LinkedIn,Full Stack Shopify Developer
611,magic42,"Birmingham, England, United Kingdom",United Kingdom,https://www.magic42.co.uk,,engineering / agency lead,Birmingham Magento and Shopify ecommerce development agency hiring full-stack web developers.,11-50,LinkedIn,Experienced Full Stack Web Developer | PHP | Magento
612,Make Agency,"Greater London, England, United Kingdom",United Kingdom,https://www.makeagency.co.uk,,engineering / agency lead,Digital agency hiring web/software developers.,11-50,LinkedIn,Senior Digital Project Manager
613,MBN Solutions,United Kingdom,United Kingdom,https://www.mbnsolutions.com,,engineering / founders,MBN Solutions helps organisations build high-performing Data &amp; AI capability - from sen...,11-50,LinkedIn,Technical Lead
